trial_num,word,dimension,filename,opponent,stage,balance
0,push,initial,barbul1.mp4,haggen,training,
1,push,initial,barbul2.mp4,plandar,training,
2,push,initial,barbul3.mp4,boskot,training,
3,push,initial,barbul1.mp4,chatten,training,
4,push,initial,barbul2.mp4,clodle,training,
5,push,initial,barbul3.mp4,doffle,training,
6,push,initial,barbul1.mp4,dupen,training,
7,push,initial,barbul2.mp4,kelder,training,
8,push,initial,barbul3.mp4,pegget,training,
9,straighten,initial,batent1.mp4,haggen,training,
10,straighten,initial,batent2.mp4,plandar,training,
11,straighten,initial,batent3.mp4,boskot,training,
12,straighten,initial,batent1.mp4,chatten,training,
13,straighten,initial,batent2.mp4,clodle,training,
14,straighten,initial,batent3.mp4,doffle,training,
15,straighten,initial,batent1.mp4,dupen,training,
16,straighten,initial,batent2.mp4,kelder,training,
17,straighten,initial,batent3.mp4,pegget,training,
18,align,initial,cabush1.mp4,haggen,training,
19,align,initial,cabush2.mp4,plandar,training,
20,align,initial,cabush3.mp4,boskot,training,
21,align,initial,cabush1.mp4,chatten,training,
22,align,initial,cabush2.mp4,clodle,training,
23,align,initial,cabush3.mp4,doffle,training,
24,align,initial,cabush1.mp4,dupen,training,
25,align,initial,cabush2.mp4,kelder,training,
26,align,initial,cabush3.mp4,pegget,training,
27,cut,initial,fremple1.mp4,haggen,training,
28,cut,initial,fremple2.mp4,plandar,training,
29,cut,initial,fremple3.mp4,boskot,training,
30,cut,initial,fremple1.mp4,chatten,training,
31,cut,initial,fremple2.mp4,clodle,training,
32,cut,initial,fremple3.mp4,doffle,training,
33,cut,initial,fremple1.mp4,dupen,training,
34,cut,initial,fremple2.mp4,kelder,training,
35,cut,initial,fremple3.mp4,pegget,training,
36,seal,initial,joicate1.mp4,haggen,training,
37,seal,initial,joicate2.mp4,plandar,training,
38,seal,initial,joicate3.mp4,boskot,training,
39,seal,initial,joicate1.mp4,chatten,training,
40,seal,initial,joicate2.mp4,clodle,training,
41,seal,initial,joicate3.mp4,doffle,training,
42,seal,initial,joicate1.mp4,dupen,training,
43,seal,initial,joicate2.mp4,kelder,training,
44,seal,initial,joicate3.mp4,pegget,training,
45,place,initial,lorice1.mp4,haggen,training,
46,place,initial,lorice2.mp4,plandar,training,
47,place,initial,lorice3.mp4,boskot,training,
48,place,initial,lorice1.mp4,chatten,training,
49,place,initial,lorice2.mp4,clodle,training,
50,place,initial,lorice3.mp4,doffle,training,
51,place,initial,lorice1.mp4,dupen,training,
52,place,initial,lorice2.mp4,kelder,training,
53,place,initial,lorice3.mp4,pegget,training,
54,hang,initial,nulmut1.mp4,haggen,training,
55,hang,initial,nulmut2.mp4,plandar,training,
56,hang,initial,nulmut3.mp4,boskot,training,
57,hang,initial,nulmut1.mp4,chatten,training,
58,hang,initial,nulmut2.mp4,clodle,training,
59,hang,initial,nulmut3.mp4,doffle,training,
60,hang,initial,nulmut1.mp4,dupen,training,
61,hang,initial,nulmut2.mp4,kelder,training,
62,hang,initial,nulmut3.mp4,pegget,training,
63,tear,initial,pulact1.mp4,haggen,training,
64,tear,initial,pulact2.mp4,plandar,training,
65,tear,initial,pulact3.mp4,boskot,training,
66,tear,initial,pulact1.mp4,chatten,training,
67,tear,initial,pulact2.mp4,clodle,training,
68,tear,initial,pulact3.mp4,doffle,training,
69,tear,initial,pulact1.mp4,dupen,training,
70,tear,initial,pulact2.mp4,kelder,training,
71,tear,initial,pulact3.mp4,pegget,training,
72,burrow,initial,traimin1.mp4,haggen,training,
73,burrow,initial,traimin2.mp4,plandar,training,
74,burrow,initial,traimin3.mp4,boskot,training,
75,burrow,initial,traimin1.mp4,chatten,training,
76,burrow,initial,traimin2.mp4,clodle,training,
77,burrow,initial,traimin3.mp4,doffle,training,
78,burrow,initial,traimin1.mp4,dupen,training,
79,burrow,initial,traimin2.mp4,kelder,training,
80,burrow,initial,traimin3.mp4,pegget,training,
81,push,initial,barbul1.mp4,frabble,experiment,
82,straighten,initial,batent1.mp4,nocket,experiment,
83,align,initial,cabush1.mp4,gluffle,experiment,
84,cut,initial,fremple1.mp4,tuffer,experiment,
85,seal,initial,joicate1.mp4,nomble,experiment,
86,place,initial,lorice1.mp4,lorple,experiment,
87,hang,initial,nulmut1.mp4,bramble,experiment,
88,tear,initial,pulact1.mp4,bramble,experiment,
89,burrow,initial,traimin1.mp4,bramble,experiment,
90,push,_diff_obj,barbul_diff_obj.mp4,trindle,experiment,
91,push,_diff_proc,barbul_diff_proc.mp4,napper,experiment,
92,push,_diff_state,barbul_diff_state.mp4,muffer,experiment,
93,push,_same_obj,barbul_same_obj.mp4,muffer,experiment,
94,push,_same_proc,barbul_same_proc.mp4,fibble,experiment,
95,push,_same_state,barbul_same_state.mp4,crindle,experiment,
96,straighten,_diff_obj,batent_diff_obj.mp4,gluffle,experiment,
97,straighten,_diff_proc,batent_diff_proc.mp4,crabble,experiment,
98,straighten,_diff_state,batent_diff_state.mp4,muffer,experiment,
99,straighten,_same_obj,batent_same_obj.mp4,corple,experiment,
100,straighten,_same_proc,batent_same_proc.mp4,muffer,experiment,
101,straighten,_same_state,batent_same_state.mp4,crindle,experiment,
102,align,_diff_obj,cabush_diff_obj.mp4,muffer,experiment,
103,align,_diff_proc,cabush_diff_proc.mp4,tuffer,experiment,
104,align,_diff_state,cabush_diff_state.mp4,fibble,experiment,
105,align,_same_obj,cabush_same_obj.mp4,trindle,experiment,
106,align,_same_proc,cabush_same_proc.mp4,napper,experiment,
107,align,_same_state,cabush_same_state.mp4,tuffer,experiment,
108,cut,_diff_obj,fremple_diff_obj.mp4,napper,experiment,
109,cut,_diff_proc,fremple_diff_proc.mp4,tuffer,experiment,
110,cut,_diff_state,fremple_diff_state.mp4,lorple,experiment,
111,cut,_same_obj,fremple_same_obj.mp4,trindle,experiment,
112,cut,_same_proc,fremple_same_proc.mp4,fibble,experiment,
113,cut,_same_state,fremple_same_state.mp4,corple,experiment,
114,seal,_diff_obj,joicate_diff_obj.mp4,corple,experiment,
115,seal,_diff_proc,joicate_diff_proc.mp4,lorple,experiment,
116,seal,_diff_state,joicate_diff_state.mp4,tuffer,experiment,
117,seal,_same_obj,joicate_same_obj.mp4,lorple,experiment,
118,seal,_same_proc,joicate_same_proc.mp4,tuffer,experiment,
119,seal,_same_state,joicate_same_state.mp4,plancher,experiment,
120,place,_diff_obj,lorice_diff_obj.mp4,frabble,experiment,
121,place,_diff_proc,lorice_diff_proc.mp4,corple,experiment,
122,place,_diff_state,lorice_diff_state.mp4,dimmer,experiment,
123,place,_same_obj,lorice_same_obj.mp4,fibble,experiment,
124,place,_same_proc,lorice_same_proc.mp4,dimmer,experiment,
125,place,_same_state,lorice_same_state.mp4,crabble,experiment,
126,hang,_diff_obj,nulmut_diff_obj.mp4,trindle,experiment,
127,hang,_diff_proc,nulmut_diff_proc.mp4,tromper,experiment,
128,hang,_diff_state,nulmut_diff_state.mp4,tromper,experiment,
129,hang,_same_obj,nulmut_same_obj.mp4,nocket,experiment,
130,hang,_same_proc,nulmut_same_proc.mp4,lorple,experiment,
